player,pWAR_final,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,pWAR,WAR_recent,balls_recent,pWAR_base,chg,WAR
Tom Banton,0.12,GT,WK-Batter,2,1,1,sold,0,652,147.8926829,T20I only,,,,,,,0.13,0,,0.18,-0.05,0.11
Dasun Shanaka,0.105,,Allrounder,0.75,1,1,unsold,33,1680,414.0731707,T20I only,11,,8,,,Lower,0.13,-0.09,22,0.23,-0.1,0.08
Kumar Kartikeya,0.105,,Bowler,0.3,0,0,unsold,106,0,106,IPL only,5,48,8,Middle,spin bowler,Lower,0.11,0.17,53,0.09,0.02,0.1
Quinton de Kock,0.105,MI,WK-Batter,1,1,1,sold,663,1023,895.0463415,IPL+T20I,384,,1,,,Opener,0.2,0.41,279,0.11,0.09,0.01
Glenn Phillips,0.08,GT,Allrounder,2,1,1,retained,162,1301,457.104878,IPL+T20I,54,,5,,,Middle,0.12,-0.05,108,0.2,-0.08,0.08
Kuldeep Sen,0.1,RR,Bowler,0.75,1,0,sold,73,0,73,thin,,73,,Death+Middle+Powerplay,pace bowler,,0.08,0,,0.11,-0.03,0.12
Sean Abbott,0.1,,Allrounder,2,1,1,unsold,0,570,129.2926829,T20I only,,,,,,,0.09,0,,0.13,-0.04,0.09
Prashant Veer,0.09,CSK,Allrounder,14.2,0,0,sold,180,0,180,IPL only,48,12,7,Middle+Powerplay,spin bowler,Lower,0.1,0.16,120,0.07,0.03,0.08
Brydon Carse,0.052,SRH,Bowler,1,1,1,retained,0,501,113.6414634,T20I only,,,,,,,0.08,0,,0.12,-0.04,0.08
Madhav Tiwari,0.08,DC,Allrounder,0.4,0,0,retained,116,0,116,IPL only,12,30,8,Death+Middle,pace bowler,Lower,0.09,0.13,74,0.07,0.02,0.07
Mujeeb Ur Rahman,0.06,,Bowler,2,1,1,unsold,24,989,248.3341463,T20I only,,12,,Middle+Powerplay,spin bowler,,0.08,-0.1,12,0.15,-0.07,0.04
Prithvi Shaw,0.05,DC,Batter,0.75,1,0,sold,121,0,121,IPL only,121,,1,,,Opener,0.04,0,,0.06,-0.02,0.06
Shahbaz Ahmed,0.045,LSG,Allrounder,2.4,1,0,retained,699,0,699,IPL only,215,259,6,Middle+Powerplay,spin bowler,Lower,0.09,0.3,225,0,0.09,0
Adam Milne,0.04,RR,Bowler,2.4,1,1,sold,0,290,65.7804878,T20I only,,,,,,,0.04,0,,0.06,-0.02,0.04
Jacob Bethell,0.035,RCB,Allrounder,2.6,1,1,retained,252,1203,524.8756098,IPL+T20I,97,,1,,,Opener,0.04,-0.19,155,0.14,-0.1,0.03
Ben Duckett,0.03,DC,WK-Batter,2,1,1,sold,0,255,57.84146341,T20I only,,,,,,,0.03,0,,0.05,-0.02,0.03
Jamie Smith,0.485,,WK-Batter,2,1,1,unsold,0,134,30.39512195,T20I only,,,,,,,0.03,0,,0.04,-0.01,0.03
Xavier Bartlett,0.2,PBKS,Bowler,0.8,1,1,retained,705,928,915.497561,IPL+T20I,21,239,10,Death+Middle+Powerplay,pace bowler,Tail,0.06,-0.02,445,0.09,-0.03,0
Zakary Foulkes,0.025,CSK,Allrounder,0.75,1,1,sold,0,161,36.5195122,T20I only,,,,,,,0.03,0,,0.04,-0.01,0.02
Anuj Rawat,0.025,GT,WK-Batter,0.3,0,0,retained,77,0,77,thin,77,,6,,,Lower,0.02,0,,0.03,-0.01,0.03
Praveen Dubey,0.025,PBKS,Bowler,0.3,0,0,sold,24,0,24,thin,,12,,Middle,spin bowler,,0.02,0.01,12,0.03,-0.01,0.03
Mahipal Lomror,0.025,,Allrounder,0.5,0,0,unsold,74,0,74,thin,68,6,7,Middle,spin bowler,Lower,0.02,0,,0.03,-0.01,0.03
Jordan Cox,0.16,RCB,WK-Batter,0.75,1,1,sold,0,120,27.2195122,T20I only,,,,,,,0.02,0,,0.03,-0.01,0.02
Mitchell Owen,0.1,PBKS,Batter,3,1,1,retained,4,320,76.58536585,T20I only,2,,3,,,No3,0.02,-0.03,2,0.04,-0.02,0.02
Richard Gleeson,0.02,,Bowler,0.75,1,1,unsold,92,0,92,thin,2,69,11,Death+Middle+Powerplay,pace bowler,Tail,0.01,-0.03,21,0.03,-0.02,0.03
Suryansh Shedge,0.76,PBKS,Allrounder,0.3,0,0,retained,228,0,228,IPL only,67,19,6,Death+Middle,pace bowler,Lower,0.03,0.1,142,0,0.03,0
Ramakrishna Ghosh,0.015,CSK,Allrounder,0.3,0,0,retained,54,0,54,thin,,18,,Middle,pace bowler,,0.01,0.02,36,0.01,0,0.02
Jhye Richardson,0.015,,Bowler,1.5,1,1,unsold,26,0,26,thin,2,24,9,Death+Middle+Powerplay,pace bowler,Tail,0.01,0,,0.02,-0.01,0.02
Sam Curran,1.24,RR,Allrounder,2.4,1,1,traded,778,1566,1133.214634,IPL+T20I,303,319,4,Death+Middle+Powerplay,pace bowler,Middle,0.04,-0.16,156,0.12,-0.08,-0.02
Riley Meredith,0.005,,Bowler,1.5,1,1,unsold,0,24,5.443902439,thin,,,,,,,0.01,0,,0.01,0,0
Jack Edwards,0,SRH,Allrounder,3,0,1,sold,0,54,12.24878049,thin,,,,,,,0,0,,0,0,0
Shreyas Gopal,0,CSK,Bowler,0.3,0,0,retained,42,0,42,thin,,42,,Middle,spin bowler,,0,0,,0,0,0
Atharva Taide,0,,Batter,0.3,0,0,unsold,58,0,58,thin,48,1,1,Death,spin bowler,Opener,-0.01,-0.04,9,0.01,-0.02,0.01
Arjun Tendulkar,0,LSG,Allrounder,0.3,0,0,traded,14,0,14,thin,,14,,Powerplay,pace bowler,,0,0,,0,0,0
Matthew Breetzke,0,LSG,WK-Batter,0.75,1,1,retained,24,132,53.94146341,T20I only,12,,2,,,Opener,0,0,12,0,0,0
Gus Atkinson,0.095,,Allrounder,2,1,1,unsold,0,50,11.34146341,thin,,,,,,,0,0,,0,0,0
Lockie Ferguson,0.102,PBKS,Bowler,2,1,1,retained,430,610,568.3658537,IPL+T20I,2,263,10.5,Death+Middle+Powerplay,pace bowler,Tail,0.01,-0.11,165,0.06,-0.05,-0.01
Akshat Raghuwanshi,-0.005,LSG,Batter,2.2,0,0,sold,75,0,75,thin,25,,6,,,Lower,-0.02,-0.08,50,0.01,-0.03,0.01
Lhuan-dre Pretorius,0.485,RR,WK-Batter,0.3,1,1,retained,6,342,83.57560976,T20I only,2,,4,,,Middle,-0.01,-0.04,4,0.01,-0.02,-0.01
Liam Livingstone,-0.01,SRH,Allrounder,13,1,1,sold,501,515,617.8170732,IPL+T20I,187,126,5,Middle,spin bowler,Middle,-0.02,-0.17,188,0.04,-0.06,0
Anmolpreet Singh,-0.015,,Batter,0.3,0,0,unsold,6,0,6,thin,6,,3,,,No3,-0.01,0,,-0.02,0.01,-0.02
Kartik Sharma,0.28,CSK,WK-Batter,14.2,0,0,sold,420,0,420,IPL only,140,,4,,,Middle,0.01,0.12,280,-0.04,0.05,-0.04
Gerald Coetzee,-0.015,,Bowler,2,1,1,unsold,390,311,460.5439024,IPL+T20I,33,274,9,Death+Middle+Powerplay,pace bowler,Tail,-0.01,-0.05,83,0.01,-0.02,-0.02
Sanvir Singh,0.028,,Allrounder,0.3,0,0,unsold,12,0,12,thin,12,,10,,,Tail,-0.03,0,,-0.04,0.01,-0.04
Luke Wood,-0.04,GT,Bowler,0.75,1,1,sold,40,395,129.597561,T20I only,3,37,10,Death+Middle+Powerplay,pace bowler,Tail,-0.01,0,,-0.02,0.01,-0.07
Umran Malik,-0.05,KKR,Bowler,0.75,1,0,retained,6,0,6,thin,,6,,Middle,pace bowler,,-0.04,0,,-0.06,0.02,-0.06
Alzarri Joseph,-0.055,,Bowler,2,1,1,unsold,58,732,224.0390244,T20I only,,58,,Death+Middle+Powerplay,pace bowler,,-0.02,0,,-0.03,0.01,-0.09
Wanindu Hasaranga,-0.075,LSG,Allrounder,2,1,1,sold,522,1633,892.4121951,IPL+T20I,15,246,6,Middle,spin bowler,Lower,-0.06,-0.31,261,0.05,-0.11,-0.09
Ramandeep Singh,-0.08,KKR,Allrounder,4,1,0,retained,388,26,393.897561,IPL only,165,20,8,Death+Middle,pace bowler,Lower,-0.09,-0.17,203,-0.06,-0.03,-0.07
Gurjapneet Singh,-0.09,CSK,Bowler,2.2,0,0,retained,327,0,327,IPL only,,109,,Death+Middle,pace bowler,,-0.08,-0.05,218,-0.1,0.02,-0.1
Wiaan Mulder,-0.11,,Allrounder,1,1,1,unsold,34,101,56.9097561,T20I only,11,6,9,Death,pace bowler,Tail,-0.1,-0.08,17,-0.11,0.01,-0.12
Mayank Dagar,-0.125,,Allrounder,0.3,0,0,unsold,72,0,72,thin,1,71,9,Middle,spin bowler,Tail,-0.1,0,,-0.14,0.04,-0.15
Tim Seifert,-0.125,KKR,WK-Batter,1.5,1,1,sold,54,1497,393.5634146,T20I only,18,,1,,,Opener,-0.12,-0.5,36,0.04,-0.16,-0.13
Tanush Kotian,-0.125,,Allrounder,0.3,0,0,unsold,31,0,31,thin,31,,2,,,Opener,-0.1,0,,-0.15,0.05,-0.15
Rahul Tripathi,-0.15,KKR,Batter,0.75,1,0,sold,229,0,229,IPL only,172,,3,,,No3,-0.18,-0.34,57,-0.11,-0.07,-0.12
Kwena Maphaka,-0.15,RR,Bowler,1.5,1,1,retained,100,741,268.0804878,IPL+T20I,2,66,9,Death+Middle+Powerplay,pace bowler,Tail,-0.12,-0.15,32,-0.1,-0.02,-0.18
Chetan Sakariya,-0.155,,Bowler,0.75,1,0,unsold,36,0,36,thin,,18,,Middle+Powerplay,pace bowler,,-0.15,-0.14,18,-0.16,0.01,-0.16
Dushmantha Chameera,-0.175,DC,Bowler,0.75,1,1,retained,297,1303,592.5585366,IPL+T20I,17,133,9,Death+Middle+Powerplay,pace bowler,Tail,-0.13,-0.19,147,-0.1,-0.03,-0.22
T Natarajan,0.18,DC,Bowler,10.75,1,0,retained,937,0,937,IPL only,2,524,11,Death+Middle+Powerplay,pace bowler,Tail,-0.27,-0.67,411,-0.1,-0.17,-0.1
Ben Dwarshuis,-0.205,PBKS,Allrounder,4.4,1,1,sold,72,765,245.5243902,T20I only,,24,,Death+Middle,pace bowler,,-0.2,-0.33,48,-0.15,-0.05,-0.21
Robin Minz,-0.235,MI,WK-Batter,0.65,0,0,retained,42,0,42,thin,19,,6,,,Lower,-0.23,-0.23,23,-0.23,0,-0.24
Kumar Kushagra,-0.26,GT,WK-Batter,0.65,0,0,retained,49,0,49,thin,21,,2,,,Opener,-0.25,-0.24,28,-0.26,0.01,-0.27
Ashok Sharma,-0.265,GT,Bowler,0.9,0,0,sold,393,0,393,IPL only,4,127,10,Death+Middle+Powerplay,pace bowler,Tail,-0.28,-0.36,262,-0.25,-0.03,-0.25
Kyle Jamieson,-0.29,DC,Bowler,2,1,1,sold,355,735,521.7195122,IPL+T20I,18,132,9,Death+Middle+Powerplay,pace bowler,Tail,-0.3,-0.5,205,-0.21,-0.09,-0.28
Sahil Parakh,-0.295,DC,Batter,0.3,0,0,sold,24,0,24,thin,8,,3,,,No3,-0.3,-0.36,16,-0.28,-0.02,-0.29
Arshin Kulkarni,-0.31,LSG,Allrounder,0.3,0,0,retained,80,0,80,thin,32,,2,,,Opener,-0.28,-0.17,48,-0.33,0.05,-0.34
Spencer Johnson,-0.32,,Bowler,1.5,1,1,unsold,247,116,273.3121951,IPL+T20I,11,164,10,Death+Middle+Powerplay,pace bowler,Tail,-0.3,-0.24,72,-0.32,0.02,-0.34
Harshal Patel,-0.32,SRH,Bowler,8,1,0,retained,1102,0,1102,IPL only,54,621,9,Death+Middle+Powerplay,pace bowler,Tail,-0.25,0.05,427,-0.38,0.13,-0.39
Manav Suthar,-0.33,GT,Allrounder,0.3,0,0,retained,122,0,122,IPL only,2,48,9,Death+Middle+Powerplay,spin bowler,Tail,-0.32,-0.26,72,-0.34,0.02,-0.34
Yash Thakur,-0.335,PBKS,Bowler,1.6,0,0,retained,369,0,369,IPL only,,279,,Death+Middle+Powerplay,pace bowler,,-0.3,-0.16,90,-0.36,0.06,-0.37
Harsh Dubey,0.18,SRH,Allrounder,0.3,0,0,retained,543,0,543,IPL only,9,192,8,Death+Middle+Powerplay,spin bowler,Lower,-0.33,-0.3,342,-0.34,0.01,-0.35
Shivang Kumar,0.22,SRH,Allrounder,0.3,0,0,sold,642,0,642,IPL only,22,192,9,Middle,spin bowler,Tail,-0.35,-0.43,428,-0.32,-0.03,-0.33
Matthew Short,-0.345,CSK,Allrounder,1.5,1,1,sold,168,499,281.1878049,IPL+T20I,37,19,4,Powerplay,spin bowler,Middle,-0.32,-0.31,112,-0.32,0,-0.37
Zeeshan Ansari,-0.35,SRH,Bowler,0.4,0,0,retained,408,0,408,IPL only,,204,,Middle,spin bowler,,-0.32,-0.2,204,-0.37,0.05,-0.38
Akash Madhwal,-0.35,,Bowler,0.3,0,0,unsold,314,0,314,IPL only,14,201,9,Death+Middle+Powerplay,pace bowler,Tail,-0.32,-0.17,99,-0.38,0.06,-0.38
Abhinav Manohar,-0.365,,Batter,0.3,0,0,unsold,138,0,138,IPL only,77,,7,,,Lower,-0.3,-0.03,61,-0.42,0.12,-0.43
Musheer Khan,-0.365,PBKS,Allrounder,0.3,0,0,retained,30,0,30,thin,3,12,8,Middle,spin bowler,Lower,-0.38,-0.46,15,-0.34,-0.04,-0.35
Fazalhaq Farooqi,-0.37,,Bowler,1,1,1,unsold,208,738,375.4,IPL+T20I,2,102,11,Death+Middle+Powerplay,pace bowler,Tail,-0.34,-0.36,104,-0.33,-0.01,-0.4
Vijaykumar Vyshak,0.585,PBKS,Bowler,1.8,0,0,retained,815,0,815,IPL only,7,359,9,Death+Middle,pace bowler,Tail,-0.36,-0.28,449,-0.4,0.04,-0.41
Rahul Chahar,-0.39,CSK,Bowler,5.2,1,0,sold,286,0,286,IPL only,15,217,10,Death+Middle,spin bowler,Tail,-0.36,-0.23,54,-0.41,0.05,-0.42
Deepak Hooda,-0.39,,Allrounder,0.75,1,0,unsold,217,0,217,IPL only,146,24,4,Middle,spin bowler,Middle,-0.38,-0.37,47,-0.39,0.01,-0.4
Matt Henry,-0.395,CSK,Bowler,2,1,1,sold,282,1239,563.0414634,IPL+T20I,10,132,10,Middle+Powerplay,pace bowler,Tail,-0.37,-0.55,140,-0.29,-0.08,-0.42
Danish Malewar,-0.435,MI,Batter,0.3,0,0,sold,15,0,15,thin,5,,2,,,Opener,-0.45,-0.53,10,-0.41,-0.04,-0.42
Simarjeet Singh,-0.46,,Bowler,0.3,0,0,unsold,208,0,208,IPL only,7,133,11,Death+Middle+Powerplay,pace bowler,Tail,-0.48,-0.6,68,-0.43,-0.05,-0.44
Romario Shepherd,0.505,RCB,Allrounder,1.5,1,1,retained,870,1951,1312.543902,IPL+T20I,111,277,7,Death+Middle,pace bowler,Lower,-0.4,-0.36,482,-0.42,0.02,-0.61
Akash Deep,-0.55,KKR,Bowler,1,1,0,sold,255,0,255,IPL only,4,135,9.5,Death+Middle+Powerplay,pace bowler,Tail,-0.52,-0.39,116,-0.57,0.05,-0.58
Shardul Thakur,-0.64,MI,Allrounder,2,1,0,traded,953,0,953,IPL only,48,482,8,Death+Middle+Powerplay,pace bowler,Lower,-0.59,-0.41,423,-0.67,0.08,-0.69
Abhinandan Singh,-0.65,RCB,Bowler,0.3,0,0,retained,174,0,174,IPL only,,58,,Death+Middle+Powerplay,pace bowler,,-0.65,-0.67,116,-0.64,-0.01,-0.65
Anrich Nortje,-0.66,LSG,Bowler,2,1,1,sold,300,561,427.2512195,IPL+T20I,9,199,10,Death+Middle+Powerplay,pace bowler,Tail,-0.59,-0.42,92,-0.66,0.07,-0.73
Avesh Khan,-0.675,LSG,Bowler,9.75,1,0,retained,1389,137,1420.07561,IPL+T20I,23,762,9,Death+Middle+Powerplay,pace bowler,Tail,-0.66,-0.66,604,-0.66,0,-0.69
Mayank Markande,-0.68,MI,Bowler,0.3,1,0,traded,223,0,223,IPL only,,163,,Middle,spin bowler,,-0.63,-0.43,60,-0.72,0.09,-0.73
Ravi Bishnoi,-0.68,RR,Bowler,7.2,1,0,sold,1224,781,1401.153659,IPL+T20I,25,641,8,Middle,spin bowler,Lower,-1.05,-1.01,558,-1.07,0.02,-1.17
Mayank Yadav,-0.55,LSG,Bowler,11,0,0,retained,329,75,346.0121951,IPL only,5,170,9,Middle+Powerplay,pace bowler,Tail,-1.16,-1.34,154,-1.08,-0.08,-1.12
Kanishk Chouhan,0,RCB,Allrounder,0.3,0,0,sold,,,,prior,,,,,,,0,0,,0,0,
Vihaan Malhotra,0,RCB,Bowler,0.3,0,0,sold,,,,prior,,,,,,,0,0,,0,0,
RS Ambrish,0,,Allrounder,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Will Sutherland,0,,Allrounder,1,1,1,unsold,,,,prior,,,,,,,0,0,,0,0,
Prithvi Raj Yarra,0,GT,Bowler,0.3,0,0,sold,,,46.273,SMAT,,,,,,,0,0,,0,0,
Vicky Ostwal,0,RCB,Allrounder,0.3,0,0,sold,,,36.746,SMAT,,,,,,,0,0,,0,0,
Swastik Chikara,0,,Batter,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Chama V Milind,0,,Bowler,0.3,0,0,unsold,,,115.91,SMAT,,,,,,,0,0,,0,0,
Ritik Tada,0,,Allrounder,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Siddarth Yadav,0,,Allrounder,0.3,0,0,unsold,,,25.405,SMAT,,,,,,,0,0,,0,0,
Macneil Noronha,0,,Allrounder,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Vishal Nishad,0,PBKS,Bowler,0.3,0,0,sold,,,,prior,,,,,,,0,0,,0,0,
Money Grewal,0,,Bowler,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Murugan Ashwin,0,,Bowler,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Mayank Rawat,0,MI,Allrounder,0.3,0,0,sold,,,18.6,SMAT,,,,,,,0,0,,0,0,
Manan Vohra,0,,Batter,0.3,0,0,unsold,,,88.463,SMAT,,,,,,,0,0,,0,0,
Aman Rao,0,RR,Batter,0.3,0,0,sold,,,32.437,SMAT,,,,,,,0,0,,0,0,
Salman Nizar,0,,Batter,0.3,0,0,unsold,,,49.449,SMAT,,,,,,,0,0,,0,0,
Ruchit Ahir,0,,WK-Batter,0.3,0,0,unsold,,,44.685,SMAT,,,,,,,0,0,,0,0,
Kamlesh Nagarkoti,0,,Allrounder,0.3,0,0,unsold,,,76.895,SMAT,,,,,,,0,0,,0,0,
Shivam Mavi,0,SRH,Bowler,0.75,1,0,sold,,,,prior,,,,,,,0,0,,0,0,
Manisankar Murasingh,0,,Allrounder,0.3,0,0,unsold,,,109.785,SMAT,,,,,,,0,0,,0,0,
Daksh Kamra,0,KKR,Allrounder,0.3,0,0,sold,,,,prior,,,,,,,0,0,,0,0,
Sarthak Ranjan,0,KKR,Allrounder,0.3,0,0,sold,,,,prior,,,,,,,0,0,,0,0,
Krains Fuletra,0,SRH,Allrounder,0.3,0,0,sold,,,,prior,,,,,,,0,0,,0,0,
Izaz Sawariya,0,,Bowler,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Jikku Bright,0,,Bowler,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Ayush Vartak,0,,Allrounder,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Utkarsh Singh,0,,Allrounder,0.3,0,0,unsold,,,28.58,SMAT,,,,,,,0,0,,0,0,
Karan Lal,0,,Allrounder,0.3,0,0,unsold,,,88.69,SMAT,,,,,,,0,0,,0,0,
Atharva Ankolekar,0,MI,Allrounder,0.3,0,0,sold,,,43.778,SMAT,,,,,,,0,0,,0,0,
Daniel Lategan,0,,Batter,0.3,0,1,unsold,,,,prior,,,,,,,0,0,,0,0,
Nathan Smith,0,,Allrounder,0.75,1,1,unsold,,,,prior,,,,,,,0,0,,0,0,
Amit Kumar,0,SRH,Bowler,0.3,0,0,sold,,,,prior,,,,,,,0,0,,0,0,
Chintal Gandhi,0,,Bowler,0.3,0,0,unsold,,,26.766,SMAT,,,,,,,0,0,,0,0,
Irfan Umair,0,,Bowler,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Tejasvi Dahiya,0,KKR,WK-Batter,3,0,0,sold,,,15.198,SMAT,,,,,,,0,0,,0,0,
Connor Esterhuizen,0,,WK-Batter,0.3,0,1,unsold,,,76.668,SA20,,,,,,,0,0,,0,0,
Tanay Thyagarajan,0,,Allrounder,0.3,0,0,unsold,,,118.405,SMAT,,,,,,,0,0,,0,0,
Dheeraj Kumar,0,,Batter,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Dan Lawrence,0,,Allrounder,2,1,1,unsold,,,139.954,SA20+Hundred,,,,,,,0,0,,0,0,
Mohit Rathee,0,,Bowler,0.3,0,0,unsold,,,32.663,SMAT,,,,,,,0,0,,0,0,
KC Cariappa,0,,Bowler,0.3,0,0,unsold,,,88.01,SMAT,,,,,,,0,0,,0,0,
Tejas Baroka,0,,Bowler,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Onkar Tukaram Tarmale,0,SRH,Bowler,0.3,0,0,sold,,,,prior,,,,,,,0,0,,0,0,
Mohammed Salahuddin Izhar,0,MI,Bowler,0.3,0,0,sold,,,26.766,SMAT,,,,,,,0,0,,0,0,
KM Asif,0,,Bowler,0.4,0,0,unsold,,,27.9,SMAT,,,,,,,0,0,,0,0,
Ravi Singh,0,RR,WK-Batter,0.95,0,0,sold,,,28.58,SMAT,,,,,,,0,0,,0,0,
Mangesh Yadav,0,RCB,Allrounder,5.2,0,0,sold,,,,prior,,,,,,,0,0,,0,0,
Aman Khan,0,CSK,Allrounder,0.4,0,0,sold,,,34.251,SMAT,,,,,,,0,0,,0,0,
Satvik Deswal,0,RCB,Allrounder,0.3,0,0,sold,,,,prior,,,,,,,0,0,,0,0,
Waqar Salamkheil,0,,Bowler,1,1,1,unsold,,,189.856,SA20+CPL+MLC,,,,,,,0,0,,0,0,
Prashant Solanki,0,KKR,Bowler,0.3,0,0,sold,,,74.173,SMAT,,,,,,,0,0,,0,0,
Shivam Shukla,0,,Bowler,0.3,0,0,unsold,,,87.329,SMAT,,,,,,,0,0,,0,0,
Wahidullah Zadran,0,,Bowler,0.3,0,1,unsold,,,,prior,,,,,,,0,0,,0,0,
Sushant Mishra,0,RR,Bowler,0.9,0,0,sold,,,79.39,SMAT,,,,,,,0,0,,0,0,
Naman Tiwari,0,LSG,Bowler,1,0,0,sold,,,24.951,SMAT,,,,,,,0,0,,0,0,
Raj Limbani,0,,Bowler,0.3,0,0,unsold,,,34.251,SMAT,,,,,,,0,0,,0,0,
Tushar Raheja,0,,WK-Batter,0.3,0,0,unsold,,,20.868,SMAT,,,,,,,0,0,,0,0,
Vansh Bedi,0,,WK-Batter,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Eden Apple Tom,0,,Allrounder,0.3,0,0,unsold,,,,prior,,,,,,,0,0,,0,0,
Aarya Desai,0,,Batter,0.3,0,0,unsold,,,107.063,SMAT,,,,,,,0,0,,0,0,
Yash Dhull,0,,Batter,0.3,0,0,unsold,,,123.849,SMAT,,,,,,,0,0,,0,0,
Abhinav Tejrana,0,,Batter,0.3,0,0,unsold,,,26.766,SMAT,,,,,,,0,0,,0,0,
Srikar Bharat,0,,WK-Batter,0.75,1,0,unsold,,,112.507,SMAT,,,,,,,0,0,,0,0,
Akash Maharaj Singh,0,LSG,Bowler,0.3,0,0,retained,,,,prior,,,,,,,0,0,,0,0,
Pyla Avinash,0,PBKS,Batter,0.3,0,0,retained,,,22.91,SMAT,,,,,,,0,0,,0,0,
Harnoor Singh,0,PBKS,Batter,0.3,0,0,retained,,,16.785,SMAT,,,,,,,0,0,,0,0,
Jayant Yadav,0,GT,Allrounder,0.75,1,0,retained,,,,prior,,,,,,,0,0,,0,0,
Gurnoor Brar,0,GT,Bowler,1.3,0,0,retained,,,31.529,SMAT,,,,,,,0,0,,0,0,
Tripurana Vijay,0,DC,Bowler,0.3,0,0,retained,,,42.19,SMAT,,,,,,,0,0,,0,0,
Ajay Jadav Mandal,0,DC,Allrounder,0.3,0,0,retained,,,109.105,SMAT,,,,,,,0,0,,0,0,
