display_name,full_name,gender,age,date_of_birth,bowling_style,position_name,country_name
Jamie Atkinson,James John Atkinson,M,35,1990-08-23T00:00Z,,Wicketkeeper batter,Hong Kong
Ishwar Chaudhary,Ishwar Haribhai Chaudhary,M,37,1988-07-10T00:00Z,Right-arm fast-medium,Unknown,India
Alex Cusack,Alex Richard Cusack,M,45,1980-10-29T00:00Z,Right-arm medium-fast,Bowler,Ireland
Zain Abbas,Zain Abbas,M,40,1986-04-16T00:00Z,Right-arm medium,Allrounder,Hong Kong
Mohammad Amir,Mohammad Amir,M,34,1992-04-13T00:00Z,Left-arm fast-medium,Bowler,Pakistan
Luke Procter,Luke Anthony Procter,M,37,1988-06-24T00:00Z,Right-arm medium-fast,Allrounder,England
Elijah Otieno,Elijah Otieno Asoyo,M,38,1988-01-03T00:00Z,Right-arm medium-fast,Bowler,Kenya
Jaik Mickleburgh,Jaik Charles Mickleburgh,M,36,1990-03-30T00:00Z,Right-arm medium-fast,Unknown,England
Regis Chakabva,Regis Wiriranai Chakabva,M,38,1987-09-20T00:00Z,Right-arm offbreak,Wicketkeeper batter,Zimbabwe
Prosper Tsvanhu,Prosper Mafadzwa Tsvanhu,M,40,1985-11-21T00:00Z,Left-arm medium-fast,Unknown,Zimbabwe
Sam Cliff,Samuel James Cliff,M,38,1987-10-03T00:00Z,Right-arm medium-fast,Unknown,England
Lee Hodgson,Lee John Hodgson,M,39,1986-06-29T00:00Z,Right-arm fast-medium,Unknown,England
Alessandro Bonora,Alessandro Bonora,M,47,1978-05-24T00:00Z,Right-arm fast-medium,Unknown,Italy
Gordon Drummond,Gordon David Drummond,M,46,1980-04-21T00:00Z,Right-arm medium-fast,Bowler,Scotland
Andy Northcote,Andrew Michael Northcote,M,43,1983-04-12T00:00Z,Right-arm offbreak,Top-order batter,South Africa
Loa Nou,Loa Nou,M,38,1987-12-31T00:00Z,Right-arm fast-medium,Bowler,Papua New Guinea
Will Owen,William Thomas Owen,M,37,1988-09-02T00:00Z,Right-arm medium-fast,Unknown,England
James Vince,James Michael Vince,M,35,1991-03-14T00:00Z,Right-arm medium,Batter,England
Pedro Bruno,Pedro Luis Bruno,M,37,1988-05-25T00:00Z,Right-arm medium-fast,Middle-order batter,Argentina
Jonathan Clare,Jonathan Luke Clare,M,39,1986-06-14T00:00Z,Right-arm medium-fast,Unknown,England
Chris Ashling,Chris Paul Ashling,M,37,1988-11-26T00:00Z,Right-arm medium-fast,Unknown,England
Kassim Nassoro,Kassim Nassoro Mussa,M,37,1988-05-13T00:00Z,Right-arm offbreak,Unknown,Tanzania
Abhik Patwa,Abhik Ramesh Patwa,M,39,1987-02-05T00:00Z,Right-arm offbreak,Top-order batter,Tanzania
Vishal Tripathi,Vishal Tripathi,M,38,1988-03-03T00:00Z,Legbreak,Unknown,England
Sekove Ravoka,Sekove Ravoka,M,39,1986-06-27T00:00Z,,Unknown,Fiji
Samuela Draunivudi,Samuela Draunivudi,M,54,1971-06-15T00:00Z,Left-arm medium-fast,Unknown,Fiji
Riziki Kiseto,Riziki K Kiseto,M,36,1989-10-14T00:00Z,Right-arm offbreak,Middle-order batter,Tanzania
Ben Sanderson,Ben William Sanderson,M,37,1989-01-03T00:00Z,Right-arm medium-fast,Bowler,England
Ernest Kemm,Ernest Hercules Kemm,M,35,1990-11-18T00:00Z,Slow left-arm orthodox,Allrounder,South Africa
Oliver Hannon-Dalby,Oliver James Hannon-Dalby,M,36,1989-06-20T00:00Z,Right-arm medium-fast,Bowler,England
Matt Machan,Matthew William Machan,M,35,1991-02-15T00:00Z,Right-arm offbreak,Top-order batter,England
Steffan Piolet,Steffan Andreas Piolet,M,37,1988-08-08T00:00Z,Right-arm medium,Bowler,England
Pel Vannak,Pel Vannak,M,24,2002-04-22T00:00Z,Right-arm medium,Unknown,Cambodia
Matthew Kleinveldt,Matthew Caleb Kleinveldt,M,36,1989-08-10T00:00Z,Right-arm offbreak,Unknown,England
Ian Cockbain,Ian Andrew Cockbain,M,39,1987-02-17T00:00Z,Right-arm medium,Middle-order batter,England
Simon Kerrigan,Simon Christopher Kerrigan,M,36,1989-05-10T00:00Z,Slow left-arm orthodox,Bowler,England
David Murphy,David Murphy,M,36,1989-06-24T00:00Z,,Middle-order batter,Scotland
Bradley Kruger,Bradley Peter Kruger,M,37,1988-09-17T00:00Z,Right-arm fast-medium,Bowler,Netherlands
Hamza Riazuddin,Hamza Riazuddin,M,36,1989-12-19T00:00Z,Right-arm fast-medium,Unknown,England
Kyle Abbott,Kyle John Abbott,M,38,1987-06-18T00:00Z,Right-arm fast-medium,Bowler,South Africa
Luke Fletcher,Luke Jack Fletcher,M,37,1988-09-18T00:00Z,Right-arm medium-fast,Bowler,England
Andy Carter,Andrew Carter,M,37,1988-08-27T00:00Z,Right-arm medium,Unknown,England
Jonny Bairstow,Jonathan Marc Bairstow,M,36,1989-09-26T00:00Z,Right-arm medium,Wicketkeeper batter,England
Jack Taylor,Jack Martin Robert Taylor,M,34,1991-11-12T00:00Z,Right-arm offbreak,Middle-order batter,England
Will Beer,William Andrew Thomas Beer,M,37,1988-10-08T00:00Z,Legbreak,Bowler,England
Adam Wheater,Adam Jack Aubrey Wheater,M,36,1990-02-13T00:00Z,,Wicketkeeper batter,England
Matt Coles,Matthew Thomas Coles,M,35,1990-05-26T00:00Z,Right-arm fast-medium,Allrounder,England
Imran Arif,Imran Arif,M,42,1984-01-15T00:00Z,Right-arm fast-medium,Unknown,Pakistan
Max Waller,Max Thomas Charles Waller,M,38,1988-03-03T00:00Z,Legbreak,Bowler,England
Francois le Clus,Jacobus Francois le Clus,M,38,1987-06-23T00:00Z,Slow left-arm orthodox,Unknown,England
Stuart Meaker,Stuart Christopher Meaker,M,37,1989-01-21T00:00Z,Right-arm fast-medium,Bowler,England
Philip Raikes,Philip Andrew Raikes,M,36,1990-04-20T00:00Z,,Unknown,Gibraltar
James Taylor,James William Arthur Taylor,M,36,1990-01-06T00:00Z,Legbreak,Middle-order batter,England
Matthew Parker,Matthew Archibald Parker,M,36,1990-03-02T00:00Z,Right-arm medium-fast,Bowler,Scotland
Jason Roy,Jason Jonathan Roy,M,35,1990-07-21T00:00Z,,Opening batter,England
Sam Billings,Samuel William Billings,M,34,1991-06-15T00:00Z,,Wicketkeeper batter,England
Scott Elstone,Scott Liam Elstone,M,35,1990-06-10T00:00Z,Right-arm offbreak,Unknown,England
Shahzad Khan,Shahzad Afzul Khan,M,45,1981-02-20T00:00Z,Right-arm fast-medium,Batter,Canada
Mangesh Panchal,Mangesh Panchal,M,52,1973-12-27T00:00Z,Legbreak,Bowler,Netherlands
Jack Shantry,Jack David Shantry,M,38,1988-01-29T00:00Z,Left-arm medium,Bowler,England
Jan Stander,Jan Hendrik Stander,M,44,1982-01-04T00:00Z,Right-arm medium-fast,Bowler,Scotland
Nathan Buck,Nathan Liam Buck,M,35,1991-04-26T00:00Z,Right-arm medium-fast,Bowler,England
Mohsin Mulla,Mohsin Mulla,M,44,1981-11-07T00:00Z,Right-arm medium,Bowler,Canada
Ned Eckersley,Edmund James Holden Eckersley,M,36,1989-08-09T00:00Z,Right-arm offbreak,Wicketkeeper batter,England
Nasir Hossain,Mohammad Nasir Hossain,M,34,1991-11-30T00:00Z,Right-arm offbreak,Allrounder,Bangladesh
Rony Talukdar,Rony Talukdar,M,35,1990-10-10T00:00Z,Right-arm slow-medium,Batter,Bangladesh
Rubel Hossain,Mohammad Rubel Hossain,M,36,1990-01-01T00:00Z,Right-arm fast,Bowler,Bangladesh
Srimantha Wijeyeratne,Srimantha Adrian Wijeyeratne,M,36,1989-06-03T00:00Z,,Wicketkeeper batter,Canada
Mohomed Feshal,Mohomed Feshal,M,37,1989-04-07T00:00Z,Right-arm offbreak,Unknown,Sri Lanka
Mahmudul Hasan,Mahmudul Hasan,M,35,1990-12-10T00:00Z,Right-arm offbreak,Unknown,Bangladesh
Alex Jones,Alexander John Jones,M,37,1988-11-10T00:00Z,Left-arm fast-medium,Unknown,England
Ryan Kern,Ryan Stanvic Germaine Kern,M,36,1989-05-26T00:00Z,Right-arm fast-medium,Allrounder,Sri Lanka
Justin Guillen,Justin Christopher Guillen,M,40,1986-01-02T00:00Z,Right-arm offbreak,Unknown,West Indies
Dinesh Chandimal,Lokuge Dinesh Chandimal,M,36,1989-11-18T00:00Z,Right-arm offbreak,Wicketkeeper batter,Sri Lanka
Angelo Perera,Angelo Kanishka Perera,M,36,1990-02-23T00:00Z,Slow left-arm orthodox,Allrounder,Sri Lanka
Kusal Perera,Mathurage Don Kusal Janith Perera,M,35,1990-08-17T00:00Z,,Wicketkeeper batter,Sri Lanka
Imesh Udayanga,Rajapaksha Jasanthunambi Imesh Udayanga,M,36,1990-01-14T00:00Z,Right-arm offbreak,Allrounder,Sri Lanka
Azhar Attari,Azhar Attari,M,35,1990-12-12T00:00Z,Right-arm medium-fast,Unknown,Pakistan
Nisham Mazahir,Mohammed Nisham Mazahir,M,37,1989-03-24T00:00Z,Right-arm medium,Batter,Sri Lanka
Shameera Weerasinghe,Don Shameera Dane Weerasinghe,M,36,1989-09-25T00:00Z,Legbreak,Bowler,Sri Lanka
Lahiru Thirimanne,Hettige Don Rumesh Lahiru Thirimanne,M,36,1989-08-09T00:00Z,Right-arm medium-fast,Top-order batter,Sri Lanka
Charith Jayampathi,Wijesinghe Mudiyanselage Charith Jayampathi,M,35,1991-02-01T00:00Z,Left-arm medium-fast,Unknown,Sri Lanka
Jordan Clark,Jordan Clark,M,35,1990-10-14T00:00Z,Right-arm medium-fast,Allrounder,England
Subashis Roy,Subashis Roy,M,37,1988-11-29T00:00Z,Right-arm fast-medium,Unknown,Bangladesh
Ian Saxelby,Ian David Saxelby,M,36,1989-05-22T00:00Z,Right-arm medium-fast,Unknown,England
Chris Dent,Christopher David James Dent,M,35,1991-01-20T00:00Z,Slow left-arm orthodox,Opening batter,England
Umesh Karunaratne,Thennakoon Mudiyanselage Umesh Samantha Karunaratne,M,37,1989-01-19T00:00Z,Right-arm offbreak,Batter,Sri Lanka
Abhinav Mukund,Abhinav Mukund,M,36,1990-01-06T00:00Z,Legbreak googly,Top-order batter,India
Shreevats Goswami,Shreevats Pratyush Goswami,M,36,1989-05-18T00:00Z,,Wicketkeeper batter,India
Sikandar Raza,Sikandar Raza Butt,M,40,1986-04-24T00:00Z,Right-arm offbreak,Batting allrounder,Zimbabwe
Chidhambaram Gautam,Chidhambaram Muralidharen Gautam,M,40,1986-03-08T00:00Z,,Wicketkeeper,India
Trevor Langa,Trevor Langa,M,36,1989-06-30T00:00Z,,Wicketkeeper,Vanuatu
Jonathon Dunn,Jonathon Dunn,M,36,1989-06-04T00:00Z,Right-arm medium,Unknown,Vanuatu
Simpson Obed,Simpson Hopeman Obed,M,36,1989-09-17T00:00Z,Legbreak,Unknown,Vanuatu
Joel Tom,Joel Tom,M,36,1989-07-04T00:00Z,Right-arm medium,Unknown,Papua New Guinea
Jason Kila,Jason Kila,M,36,1990-01-15T00:00Z,Slow left-arm orthodox,Bowling allrounder,Papua New Guinea
Tony Ura,Tony Pala Ura,M,36,1989-10-15T00:00Z,,Opening batter,Papua New Guinea
Bashir Shah,Syed Bashir Ahmed Shah,M,43,1983-04-06T00:00Z,Slow left-arm orthodox,Unknown,Denmark
Seru Tupou,Seru Marutu Tupou,M,35,1990-06-18T00:00Z,Right-arm medium,Unknown,Fiji
Willie Gavera,Willie Toua Gavera,M,37,1988-08-18T00:00Z,Right-arm fast,Bowler,Papua New Guinea
Peni Dakainivanua,Peni Junior Dakainivanua,M,37,1989-03-30T00:00Z,Right-arm offbreak,Unknown,Fiji
Reinhardt Strydom,Reinhardt Strydom,M,48,1977-06-16T00:00Z,Left-arm medium-fast,Batter,Ireland
Peter Connell,Peter Christopher Connell,M,44,1981-08-13T00:00Z,Right-arm medium-fast,Bowler,Ireland
Ryan Flannigan,Ryan Flannigan,M,37,1988-06-30T00:00Z,Right-arm medium,Top-order batter,Scotland
Ishan Jayaratne,Hadigallage Ishan Anjana Jayaratne,M,36,1989-06-26T00:00Z,Right-arm fast-medium,Allrounder,Sri Lanka
Yasir Iqbal,Yasir Iqbal,M,42,1983-09-19T00:00Z,Right-arm medium,Unknown,Denmark
Rizwan Mahmood,Rizwan Tariq Mahmood,M,36,1989-06-16T00:00Z,,Unknown,Denmark
Shane Getkate,Shane Charles Getkate,M,34,1991-10-02T00:00Z,Right-arm medium-fast,Allrounder,Ireland
James Shannon,James Norman Knight Shannon,M,36,1990-02-12T00:00Z,Right-arm offbreak,Middle-order batter,Ireland
Lesley Stokkers,Lesley Willem Stokkers,M,38,1987-11-01T00:00Z,Right-arm offbreak,Batter,Netherlands
Chris Dougherty,Christopher Dougherty,M,38,1988-01-16T00:00Z,,Unknown,Ireland
Andrew Britton,Samuel Andrew Britton,M,38,1988-02-10T00:00Z,Right-arm fast,Bowler,Ireland
Aftab Ahmed,Aftab Ahmed,M,36,1990-04-22T00:00Z,Right-arm medium,Bowling allrounder,Denmark
Martin Pedersen,Martin Nuka Lennert Pedersen,M,37,1988-05-24T00:00Z,Right-arm medium,Unknown,Denmark
Joe Root,Joseph Edward Root,M,35,1990-12-30T00:00Z,Right-arm offbreak,Top-order batter,England
Andy Balbirnie,Andrew Balbirnie,M,35,1990-12-28T00:00Z,Right-arm offbreak,Batter,Ireland
Sheraz Sheikh,Sheraz Mohammad Sheikh,M,38,1987-11-15T00:00Z,Slow left-arm orthodox,Bowler,Belgium
Soheel Hussain,Soheel Hussain,M,37,1989-03-31T00:00Z,,Unknown,Belgium
Fida Hussain,Fida Hussain,M,37,1988-06-10T00:00Z,Right-arm medium,Unknown,Italy
Luis di Giglio,Luis di Giglio,M,36,1989-05-22T00:00Z,Left-arm medium,Unknown,Italy
Edward Farley,Edward John Farley,M,38,1987-10-17T00:00Z,,Wicketkeeper,Jersey
Paul Stirling,Paul Robert Stirling,M,35,1990-09-03T00:00Z,Right-arm offbreak,Batting allrounder,Ireland
Thomas Kirk,Thomas Kirk,M,33,1992-08-06T00:00Z,Right-arm offbreak,Unknown,Guernsey
Ben Ferbrache,Lee Benjamin Ferbrache,M,38,1988-03-18T00:00Z,Right-arm offbreak,Unknown,Guernsey
Tom Kimber,Thomas CR Kimber,M,35,1990-05-10T00:00Z,Left-arm medium,Unknown,Guernsey
Luke Nussbaumer,Luke Nussbaumer,M,37,1989-02-12T00:00Z,Right-arm medium-fast,Unknown,Guernsey
Gabriel Schachat,Gabriel Schachat,M,35,1991-02-18T00:00Z,Right-arm medium-fast,Unknown,Israel
Buwaneka Ekanayake,Buwaneka Milinda Bandara Ekanayake,M,36,1989-09-18T00:00Z,,Wicketkeeper batter,Sri Lanka
Ben Cotton,Benjamin David Cotton,M,32,1993-09-13T00:00Z,Right-arm medium-fast,Unknown,England
Bryan Zammitt,Bryan AA Zammitt,M,36,1990-01-24T00:00Z,,Unknown,Gibraltar
Lahiru Weragala,Lahiru Anurudda Weragala,M,37,1989-03-12T00:00Z,Slow left-arm orthodox,Batter,Sri Lanka
Dilshan Munaweera,Eldeniya Medagedara Dilshan Yasika Munaweera,M,37,1989-04-24T00:00Z,Right-arm offbreak,Opening batter,Sri Lanka
Matthew Pardoe,Matthew Graham Pardoe,M,35,1991-01-05T00:00Z,Left-arm medium,Unknown,England
Navin Kavikara,Navin Madushan Kavikara,M,36,1989-12-27T00:00Z,Slow left-arm orthodox,Unknown,Sri Lanka
Kabir Mirpuri,Kabir Mirpuri,M,38,1987-11-27T00:00Z,Right-arm offbreak,Unknown,Gibraltar
Kieron Ferrary,Kieron J Ferrary,M,36,1989-06-08T00:00Z,Right-arm offbreak,Unknown,Gibraltar
Ashby Mutumbami,Ashby Mutumbami,M,40,1985-11-15T00:00Z,Right-arm medium,Unknown,Zimbabwe
Maurits Jonkman,Maurits Maarten Alexander Jonkman,M,40,1986-03-20T00:00Z,Right-arm medium,Bowler,Netherlands
Rustam Bhatti,Rustam Ali Bhatti,M,36,1990-02-18T00:00Z,Right-arm offbreak,Wicketkeeper batter,Canada
Arsalan Qadir,Arsalan Qadir,M,36,1989-09-15T00:00Z,Right-arm fast-medium,Bowler,Canada
Primosh Perera,Kaluarachchilage Primosh Asitha Perera,M,36,1989-05-17T00:00Z,Legbreak,Batting allrounder,Sri Lanka
GVS Prasad,Garikina Venkata Satya Prasad,M,36,1989-12-02T00:00Z,Right-arm offbreak,Unknown,India
Augusto Mustafa,Augusto Mustafa,M,33,1992-07-16T00:00Z,,Unknown,Argentina
Sacha De Alwis,Yeron Sacha De Alwis Seneveratne,M,34,1992-01-30T00:00Z,Slow left-arm orthodox,Opening batter,Cayman Islands
Hernan Fennell,Hernan Fennell,M,38,1988-02-02T00:00Z,Right-arm medium,Unknown,Argentina
Ruvindu Gunasekera,Ruvindu Gunasekera,M,34,1991-07-20T00:00Z,Legbreak googly,Top-order batter,Canada
Terryn Fray,Terryn Sunil Fray,M,34,1991-06-30T00:00Z,,Opening batter,Bermuda
Darren Cato,Darren Cato,M,34,1991-09-03T00:00Z,Right-arm medium,Unknown,Cayman Islands
Ramon Sealy,Ramon Anthony Sealy,M,35,1991-04-22T00:00Z,Legbreak,Unknown,Cayman Islands
Dennico Hollis,Dennico Ashante Wellman Hollis,M,37,1988-08-17T00:00Z,,Middle-order batter,Bermuda
Kyle Hodsoll,Kyle Christopher Hodsoll,M,37,1988-11-24T00:00Z,Right-arm medium-fast,Middle-order batter,Bermuda
Tamauri Tucker,Tamauri Eugene Tucker,M,37,1988-12-10T00:00Z,Right-arm offbreak,Middle-order batter,Bermuda
Vikrant Yeligati,Vikrant Shyam Yeligati,M,41,1985-04-23T00:00Z,Right-arm offbreak,Unknown,India
Jordan DeSilva,Jordan Anthony DeSilva,M,36,1990-05-04T00:00Z,Left-arm fast-medium,Allrounder,Bermuda
Chris Douglas,Chris Ryan McCallan Douglas,M,36,1989-11-20T00:00Z,Right-arm offbreak,Opening batter,Bermuda
Chris Lonsdale,Christopher Hallett Lonsdale,M,38,1987-09-15T00:00Z,Right-arm offbreak,Bowler,Bermuda
Te Senglong,Te Senglong,M,25,2000-11-26T00:00Z,Right-arm medium,Unknown,Cambodia
Marc Taylor,Marc Taylor,M,36,1990-03-20T00:00Z,Right-arm offbreak,Opening batter,Bahamas
Roderick Mitchell,Roderick P Mitchell,M,36,1989-06-25T00:00Z,Right-arm fast,Bowler,Bahamas
Rudolph Fox,Rudolph Fox,M,33,1992-12-03T00:00Z,Left-arm medium,Unknown,Bahamas
Iqbal Hussain,Iqbal Hussain Chaudhry,M,37,1989-01-14T00:00Z,Right-arm medium,Unknown,Qatar
Tamoor Sajjad,Tamoor Sajjad Zafar,M,34,1992-01-22T00:00Z,Legbreak,Unknown,Qatar
Michael Beer,Michael Anthony Beer,M,41,1984-06-09T00:00Z,Slow left-arm orthodox,Bowler,Australia
Ahmad Faiz,Ahmed Faiz Mohammad Noor,M,38,1988-02-12T00:00Z,Legbreak,Batter,Malaysia
Shafiq Sharif,Mohd Shafiq Mohd Sharif,M,36,1990-03-10T00:00Z,,Unknown,Malaysia
Aminuddin Ramly,Aminuddin Ramly,M,35,1990-05-16T00:00Z,Right-arm medium,Allrounder,Malaysia
Shir Azizi,Shir Mohammad Azizi,M,39,1986-05-31T00:00Z,Right-arm fast-medium,Unknown,Afghanistan
Zakiullah Zaki,Zakiullah Zaki,M,35,1990-07-15T00:00Z,Legbreak,Bowler,Afghanistan
Jayde Herrick,Jayde Matthew Herrick,M,41,1985-01-16T00:00Z,Right-arm fast-medium,Unknown,Australia
Haji Murad Muradi,Haji Murad Muradi,M,36,1989-05-29T00:00Z,,Wicketkeeper batter,Afghanistan
Chandra Sawad,Chandra Sawad,M,36,1990-01-26T00:00Z,Right-arm medium-fast,Unknown,Nepal
Wanchana Uisuk,Wanchana Uisuk,M,34,1992-02-06T00:00Z,Left-arm medium,Unknown,Thailand
Rohan Mustafa,Rohan Mustafa,M,37,1988-10-07T00:00Z,Right-arm offbreak,Top-order batter,United Arab Emirates
Jatinder Singh,Jatinder Singh,M,37,1989-03-05T00:00Z,Right-arm offbreak,Batter,Oman
Nopphon Senamontree,Nopphon Senamontree,M,35,1991-04-28T00:00Z,Slow left-arm orthodox,Unknown,Thailand
Anish Paraam,Anish Edward Paraam,M,35,1990-07-19T00:00Z,Slow left-arm orthodox,Unknown,Singapore
Javed Ahmadi,Mohammad Javed Ahmadi,M,34,1992-01-02T00:00Z,Right-arm offbreak,Top-order batter,Afghanistan
David Willey,David Jonathan Willey,M,36,1990-02-28T00:00Z,Left-arm fast-medium,Bowling allrounder,England
Noor-ul-Haq,Noor-ul-Haq Malekzai,M,34,1992-04-02T00:00Z,Legbreak,Middle-order batter,Afghanistan
Adnan Idrees,Adnan Idrees,M,35,1990-08-19T00:00Z,Legbreak,Batting allrounder,Kuwait
Haroon Shahid,Haroon Shahid,M,34,1991-06-30T00:00Z,Slow left-arm orthodox,Unknown,Kuwait
Stuart Poynter,Stuart William Poynter,M,35,1990-10-18T00:00Z,,Wicketkeeper batter,Ireland
Rezza Gaznavi,Rezza Gaznavi,M,33,1992-10-15T00:00Z,Legbreak,Batter,Singapore
Shabir Noori,Shabir Ahmad Noori,M,34,1992-02-22T00:00Z,Right-arm offbreak,Top-order batter,Afghanistan
Tiaan Louw,Tiaan Louw,M,37,1988-06-10T00:00Z,Right-arm medium,Middle-order batter,Namibia
Raymond van Schoor,Raymond van Schoor,M,25,1990-05-23T00:00Z,Right-arm medium,Unknown,Namibia
Pikky Ya France,Helao Nafidi Ya France,M,36,1990-04-23T00:00Z,Right-arm offbreak,Middle-order batter,Namibia
Josh Cobb,Joshua James Cobb,M,35,1990-08-17T00:00Z,Right-arm offbreak,Batting allrounder,England
Greg Smith,Greg Phillip Smith,M,37,1988-11-16T00:00Z,Legbreak,Top-order batter,England
Peter Kituku,Peter Kituku Musango,M,38,1988-04-14T00:00Z,,Unknown,Kenya
Nelson Odhiambo,Nelson Mandela Odhiambo,M,37,1989-03-21T00:00Z,Right-arm medium-fast,Bowler,Kenya
Saadat Munir,Saadat Munir,M,43,1982-08-24T00:00Z,Slow left-arm orthodox,Unknown,Pakistan
Nasibu Mapunda,Nasibu Kelvin Mapunda,M,34,1991-08-12T00:00Z,,Unknown,Tanzania
Deusdedit Muhumuza,Deusdedit Muhumuza,M,36,1989-09-30T00:00Z,Right-arm medium,Unknown,Uganda
Jonathan Ssebanja,Jonathan Ssebanja,M,37,1988-09-10T00:00Z,Left-arm medium,Unknown,Uganda
Karabo Modise,Karabo Modise,M,37,1988-07-20T00:00Z,Slow left-arm orthodox,Unknown,Botswana
Simon Ateak,Simon Ateak,M,32,1993-09-22T00:00Z,Right-arm offbreak,Unknown,Ghana
Adam Ball,Adam James Ball,M,33,1993-03-01T00:00Z,Left-arm fast-medium,Unknown,England
Peter Ananya,Peter K Ananya,M,37,1988-06-23T00:00Z,,Unknown,Ghana
James Vifah,James K Vifah,M,36,1989-11-24T00:00Z,Right-arm medium,Unknown,Ghana
Karabo Motlhanka,Karabo Motlhanka,M,34,1992-04-17T00:00Z,,Unknown,Botswana
Moses Anafie,Moses Kofi Anafie,M,37,1988-05-23T00:00Z,Right-arm offbreak,Unknown,Ghana
Kofi Bagabena,Kofi Stephen Bagabena,M,37,1988-11-25T00:00Z,Right-arm medium,Unknown,Ghana
Shem Ngoche,Shem Obado Ngoche,M,36,1989-06-06T00:00Z,Slow left-arm orthodox,Bowler,Kenya
Alec Maparura,Alec Maparura,M,38,1987-08-17T00:00Z,Slow left-arm orthodox,Unknown,Zimbabwe
Dennis Tabby,Dennis Tabby,M,36,1989-09-24T00:00Z,Right-arm fast-medium,Unknown,Uganda
Arthur Ziraba,Arthur Ziraba,M,36,1989-08-08T00:00Z,,Unknown,Uganda
D'Arcy Short,D'Arcy John Matthew Short,M,35,1990-08-09T00:00Z,Left-arm wrist-spin,Opening batter,Australia
Scott Borthwick,Scott George Borthwick,M,36,1990-04-19T00:00Z,Legbreak,Batting allrounder,England
Jos Buttler,Joseph Charles Buttler,M,35,1990-09-08T00:00Z,,Wicketkeeper batter,England
Danny Briggs,Danny Richard Briggs,M,35,1991-04-30T00:00Z,Slow left-arm orthodox,Bowler,England
James Ngoche,James Otieno Ngoche,M,38,1988-01-29T00:00Z,Right-arm offbreak,Bowler,Kenya
Jadavji Jesani,Jadhavji Shah Jesani,M,44,1981-12-28T00:00Z,Right-arm offbreak,Bowler,Kenya
Chris Wood,Christopher Philip Wood,M,35,1990-06-27T00:00Z,Left-arm medium-fast,Bowler,England
Adam Riley,Adam Edward Nicholas Riley,M,34,1992-03-23T00:00Z,Right-arm offbreak,Unknown,England
Abhimanyu Mithun,Abhimanyu Mithun,M,36,1989-10-25T00:00Z,Right-arm medium,Bowler,India
Ben Stokes,Benjamin Andrew Stokes,M,34,1991-06-04T00:00Z,Right-arm fast-medium,Allrounder,England
SL Akshay,Santhebennur Lokesh Akshay,M,39,1987-04-30T00:00Z,Right-arm medium,Unknown,India
Michael Swart,Michael Richard Swart,M,43,1982-10-01T00:00Z,Right-arm offbreak,Middle-order batter,Australia
Hamid Hassan,Hamid Hassan,M,38,1987-06-01T00:00Z,Right-arm fast,Bowler,Afghanistan
Mitchell Starc,Mitchell Aaron Starc,M,36,1990-01-30T00:00Z,Left-arm fast,Bowler,Australia
Calvert Hooper,Calvert Kenroy Hooper,M,43,1982-08-10T00:00Z,Right-arm fast-medium,Bowler,Canada
Arvind Kandappah,Arvindah Luxman Kandappah,M,55,1971-03-07T00:00Z,,Batter,Canada
Abdul Jabbar,Abdul Jabbar Chaudrey,M,43,1983-03-01T00:00Z,Right-arm medium,Batter,Canada
Suresh Kumar,Selvam Suresh Kumar,M,41,1985-03-20T00:00Z,Right-arm offbreak,Unknown,India
Gary Chirimuuta,Gary Chirimuuta,M,34,1991-07-16T00:00Z,Right-arm offbreak,Unknown,Zimbabwe
Ganesh Satish,Ganesh Satish,M,38,1988-03-15T00:00Z,,Top-order batter,India
Jonathan Carter,Jonathan Lyndon Carter,M,38,1987-11-16T00:00Z,Right-arm medium,Batting allrounder,West Indies
Krishmar Santokie,Krishmar Santokie,M,41,1984-12-20T00:00Z,Left-arm medium,Bowler,West Indies
Donwell Hector,Donwell Banister Hector,M,37,1988-10-31T00:00Z,Right-arm offbreak,Unknown,West Indies
Shykat Ali,Mohammad Shykat Ali,M,32,1993-12-20T00:00Z,Right-arm medium,Allrounder,Bangladesh
Chad Hauptfleisch,Chad Hauptfleisch,M,38,1988-01-25T00:00Z,,Middle-order batter,Cayman Islands
Aviwe Mgijima,Aviwe Mgijima,M,37,1988-08-10T00:00Z,Right-arm offbreak,Allrounder,South Africa
Griffin Nieuwoudt,Griffin Nathan Nieuwoudt,M,38,1987-05-22T00:00Z,Left-arm wrist-spin,Unknown,South Africa
Nick Browne,Nicholas Laurence Joseph Browne,M,35,1991-03-24T00:00Z,Legbreak,Opening batter,England
Horace Miller,Horace Miller,M,36,1989-10-26T00:00Z,,Unknown,West Indies
Nkrumah Bonner,Nkrumah Eljego Bonner,M,37,1989-01-23T00:00Z,Legbreak,Middle-order batter,West Indies
Shacaya Thomas,Shacaya Elrick Thomas,M,37,1988-09-25T00:00Z,,Middle-order batter,West Indies
Jason Dawes,Jason Obrian Dawes,M,37,1988-12-27T00:00Z,Right-arm fast,Unknown,West Indies
Wiann van Zyl,Willem Johannes van Zyl,M,38,1988-04-14T00:00Z,Left-arm wrist-spin,Unknown,South Africa
Sybrand Engelbrecht,Sybrand Abraham Engelbrecht,M,37,1988-09-15T00:00Z,Right-arm offbreak,Allrounder,Netherlands
Junaid Nadir,Junaid Nadir Khan,M,37,1989-01-07T00:00Z,Right-arm medium-fast,Unknown,Pakistan
