player,salary,team,country,season,role,type
₹5.75 Cr,Deepak Hooda,LSG,🇮🇳 India,2024,All-rounder,Retention
₹5.5 Cr,Mukesh Kumar,DC,🇮🇳 India,2024,Bowler,Retention
₹5.5 Cr,Dinesh Karthik,RCB,🇮🇳 India,2024,WK-Batter,Retention
₹5.25 Cr,Khaleel Ahmed,DC,🇮🇳 India,2024,Bowler,Retention
₹5.25 Cr,Rahul Chahar,PBKS,🇮🇳 India,2024,Bowler,Retention
₹5.25 Cr,Heinrich Klaasen,SRH,🇿🇦 South Africa,2024,WK-Batter,Auction
₹5 Cr,Jhye Richardson,DC,🌍 Overseas,2024,Bowler,Auction
₹5 Cr,Gerald Coetzee,MI,🌍 Overseas,2024,Bowler,Auction
₹5 Cr,Yash Dayal,RCB,🇮🇳 India,2024,Bowler,Retention
₹5 Cr,Ravichandran Ashwin,RR,🇮🇳 India,2024,All-rounder,Retention
₹4.8 Cr,Nuwan Thushara,MI,🇱🇰 Sri Lanka,2024,Bowler,Auction
₹4.6 Cr,Dilshan Madushanka,MI,🌍 Overseas,2024,Bowler,Auction
₹4.4 Cr,Josh Little,GT,🌍 Overseas,2024,Bowler,Retention
₹4.2 Cr,Chris Woakes,PBKS,🌍 Overseas,2024,All-rounder,Auction
₹4.2 Cr,Bhuvneshwar Kumar,SRH,🇮🇳 India,2024,Bowler,Retention
₹4.2 Cr,Marco Jansen,SRH,🇿🇦 South Africa,2024,Bowler,Retention
₹4 Cr,Shivam Dube,CSK,🇮🇳 India,2024,All-rounder,Retention
₹4 Cr,Harry Brook,DC,🌍 Overseas,2024,Batter,Auction
₹4 Cr,Ravi Bishnoi,LSG,🇮🇳 India,2024,Bowler,Retention
₹4 Cr,Arshdeep Singh,PBKS,🇮🇳 India,2024,Bowler,Retention
₹4 Cr,Yashasvi Jaiswal,RR,🇮🇳 India,2024,Batter,Retention
₹4 Cr,Abdul Samad,SRH,🇮🇳 India,2024,All-rounder,Retention
₹4 Cr,T Natarajan,SRH,🇮🇳 India,2024,Bowler,Retention
₹4 Cr,Umran Malik,SRH,🇮🇳 India,2024,Bowler,Retention
₹3.8 Cr,Harpreet Brar,PBKS,🇮🇳 India,2024,Bowler,Retention
₹3.8 Cr,Riyan Parag,RR,🇮🇳 India,2024,Batter,Retention
₹3.6 Cr,Robin Minz,GT,🇮🇳 India,2024,WK-Batter,Auction
₹3.4 Cr,Anuj Rawat,RCB,🇮🇳 India,2024,WK-Batter,Retention
₹3.2 Cr,Will Jacks,RCB,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2024,All-rounder,Retention
₹3 Cr,David Miller,GT,🌍 Overseas,2024,Batter,Retention
₹3 Cr,Sai Kishore,GT,🇮🇳 India,2024,Bowler,Retention
₹3 Cr,Dewald Brevis,MI,🇿🇦 South Africa,2024,Batter,Retention
₹2.8 Cr,Jason Roy,KKR,🌍 Overseas,2024,Batter,Retention
₹2.6 Cr,Abhinav Manohar,GT,🇮🇳 India,2024,Batter,Retention
₹2.6 Cr,Navdeep Saini,RR,🇮🇳 India,2024,Bowler,Retention
₹2.6 Cr,Aiden Markram,SRH,🌍 Overseas,2024,Batter,Retention
₹2.4 Cr,Matthew Wade,GT,🌍 Overseas,2024,WK-Batter,Retention
₹2.4 Cr,Manimaran Siddharth,LSG,🇮🇳 India,2024,Bowler,Auction
₹2.4 Cr,Shahbaz Ahmed,SRH,🇮🇳 India,2024,All-rounder,Retention
₹2.2 Cr,Sushant Mishra,GT,🇮🇳 India,2024,Bowler,Auction
₹2 Cr,Mustafizur Rahman,CSK,🇧🇩 Bangladesh,2024,Bowler,Auction
₹2 Cr,Kuldeep Yadav,DC,🇮🇳 India,2024,Bowler,Retention
₹2 Cr,Kane Williamson,GT,🌍 Overseas,2024,Batter,Retention
₹2 Cr,Mujeeb Ur Rahman,KKR,🇦🇫 Afghanistan,2024,Bowler,Auction
₹2 Cr,David Willey,LSG,🌍 Overseas,2024,All-rounder,Auction
₹2 Cr,Lockie Ferguson,RCB,🌍 Overseas,2024,Bowler,Retention
₹1.9 Cr,Mitchell Santner,CSK,🇳🇿 New Zealand,2024,All-rounder,Retention
₹1.9 Cr,Wriddhiman Saha,GT,🇮🇳 India,2024,WK-Batter,Retention
₹1.9 Cr,Reece Topley,RCB,🌍 Overseas,2024,Bowler,Retention
₹1.8 Cr,Rachin Ravindra,CSK,🇳🇿 New Zealand,2024,All-rounder,Auction
₹1.8 Cr,Mayank Dagar,RCB,🇮🇳 India,2024,All-rounder,Retention
₹1.7 Cr,Jayant Yadav,GT,🇮🇳 India,2024,All-rounder,Retention
₹1.7 Cr,Tilak Varma,MI,🇮🇳 India,2024,Batter,Retention
₹1.6 Cr,Jaydev Unadkat,SRH,🇮🇳 India,2024,Bowler,Auction
₹1.5 Cr,Rajvardhan Hangargekar,CSK,🇮🇳 India,2024,All-rounder,Retention
₹1.5 Cr,Sherfane Rutherford,KKR,🇬🇾 West Indies (Guyana),2024,Batter,Retention
₹1.5 Cr,Mohammad Nabi,MI,🌍 Overseas,2024,All-rounder,Auction
₹1.5 Cr,Tom Curran,RCB,🌍 Overseas,2024,All-rounder,Retention
₹1.5 Cr,Adam Zampa,RR,🇦🇺 Australia,2024,Bowler,Retention
₹1.5 Cr,Glenn Phillips,SRH,🌍 Overseas,2024,All-rounder,Retention
₹1.5 Cr,Wanindu Hasaranga,SRH,🌍 Overseas,2024,Bowler,Auction
₹1.4 Cr,Vijay Shankar,GT,🇮🇳 India,2024,All-rounder,Retention
₹1.2 Cr,Prashant Solanki,CSK,🇮🇳 India,2024,All-rounder,Retention
₹1 Cr,Devon Conway,CSK,🇳🇿 New Zealand,2024,WK-Batter,Retention
₹1 Cr,Sumit Kumar,DC,🇮🇳 India,2024,All-rounder,Auction
₹1 Cr,Gus Atkinson,KKR,🌍 Overseas,2024,Bowler,Auction
₹1 Cr,Ashton Turner,LSG,🌍 Overseas,2024,All-rounder,Auction
₹95 Lakh,Mahipal Lomror,RCB,🇮🇳 India,2024,All-rounder,Retention
₹90 Lakh,Krishnappa Gowtham,LSG,🇮🇳 India,2024,All-rounder,Retention
₹75 Lakh,Shai Hope,DC,🌍 Overseas,2024,WK-Batter,Auction
₹75 Lakh,KS Bharat,KKR,🇮🇳 India,2024,WK-Batter,Auction
₹75 Lakh,Jason Behrendorff,MI,🌍 Overseas,2024,Bowler,Retention
₹75 Lakh,Nathan Ellis,PBKS,🇦🇺 Australia,2024,Bowler,Retention
₹70 Lakh,Maheesh Theekshana,CSK,🌍 Overseas,2024,Bowler,Retention
₹70 Lakh,Rajan Kumar,RCB,🇮🇳 India,2024,Bowler,Retention
₹65 Lakh,Lalit Yadav,DC,🇮🇳 India,2024,All-rounder,Retention
₹60 Lakh,Nishant Sindhu,CSK,🇮🇳 India,2024,All-rounder,Retention
₹60 Lakh,Kartik Tyagi,GT,🇮🇳 India,2024,Bowler,Retention
₹60 Lakh,Vaibhav Arora,KKR,🇮🇳 India,2024,Bowler,Retention
₹60 Lakh,Prabhsimran Singh,PBKS,🇮🇳 India,2024,WK-Batter,Retention
₹60 Lakh,Matthew Short,PBKS,🇦🇺 Australia,2024,All-rounder,Retention
₹55 Lakh,Rishi Dhawan,PBKS,🇮🇳 India,2024,All-rounder,Retention
₹50 Lakh,Ajinkya Rahane,CSK,🇮🇳 India,2024,Batter,Retention
₹50 Lakh,Ishant Sharma,DC,🇮🇳 India,2024,Bowler,Retention
₹50 Lakh,Lungi Ngidi,DC,🌍 Overseas,2024,Bowler,Auction
₹50 Lakh,Praveen Dubey,DC,🇮🇳 India,2024,All-rounder,Auction
₹50 Lakh,Tristan Stubbs,DC,🇿🇦 South Africa,2024,WK-Batter,Retention
₹50 Lakh,Yash Dhull,DC,🇮🇳 India,2024,Batter,Retention
₹50 Lakh,Azmatullah Omarzai,GT,🌍 Overseas,2024,All-rounder,Retention
₹50 Lakh,Mohit Sharma,GT,🇮🇳 India,2024,Bowler,Retention
₹50 Lakh,Sai Sudharsan,GT,🇮🇳 India,2024,Batter,Retention
₹50 Lakh,Chetan Sakariya,KKR,🇮🇳 India,2024,Bowler,Auction
₹50 Lakh,Manish Pandey,KKR,🇮🇳 India,2024,Batter,Auction
₹50 Lakh,Rahmanullah Gurbaz,KKR,🌍 Overseas,2024,WK-Batter,Retention
₹50 Lakh,Amit Mishra,LSG,🇮🇳 India,2024,Bowler,Retention
₹50 Lakh,Kyle Mayers,LSG,🌍 Overseas,2024,All-rounder,Retention
₹50 Lakh,Naveen Ul Haq,LSG,🌍 Overseas,2024,Bowler,Retention
₹50 Lakh,Piyush Chawla,MI,🇮🇳 India,2024,Bowler,Retention
₹50 Lakh,Romario Shepherd,MI,🌍 Overseas,2024,All-rounder,Retention
₹50 Lakh,Sikandar Raza,PBKS,🌍 Overseas,2024,All-rounder,Retention
₹50 Lakh,Jitesh Sharma,PBKS,🇮🇳 India,2024,WK-Batter,Retention
₹50 Lakh,Karn Sharma,RCB,🇮🇳 India,2024,Bowler,Retention
₹50 Lakh,Rajat Patidar,RCB,🇮🇳 India,2024,Batter,Retention
₹50 Lakh,Donovan Ferreira,RR,🇿🇦 South Africa,2024,WK-Batter,Retention
₹50 Lakh,Nandre Burger,RR,🇿🇦 South Africa,2024,Bowler,Auction
₹50 Lakh,Sandeep Sharma,RR,🇮🇳 India,2024,Bowler,Retention
₹50 Lakh,Kuldeep Sen,RR,🇮🇳 India,2024,Bowler,Retention
₹50 Lakh,Fazalhaq Farooqi,SRH,🌍 Overseas,2024,Bowler,Retention
₹50 Lakh,Mayank Markande,SRH,🇮🇳 India,2024,Bowler,Retention
₹45 Lakh,Yash Thakur,LSG,🇮🇳 India,2024,Bowler,Retention
₹40 Lakh,Harpreet Singh,PBKS,🇮🇳 India,2024,Batter,Retention
₹40 Lakh,Tom Kohler-Cadmore,RR,🌍 Overseas,2024,Batter,Retention
₹30 Lakh,Noor Ahmad,GT,🇦🇫 Afghanistan,2024,Bowler,Retention
₹30 Lakh,Arjun Tendulkar,MI,🇮🇳 India,2024,All-rounder,Retention
₹30 Lakh,Suyash Prabhudessai,RCB,🇮🇳 India,2024,Batter,Retention
₹25 Lakh,Upendra Yadav,SRH,🇮🇳 India,2024,WK-Batter,Retention
₹20 Lakh,Ajay Jadav Mandal,CSK,🇮🇳 India,2024,All-rounder,Retention
₹20 Lakh,Avanish Rao Aravelly,CSK,🇮🇳 India,2024,Batter,Auction
₹20 Lakh,Matheesha Pathirana,CSK,🇱🇰 Sri Lanka,2024,Bowler,Retention
₹20 Lakh,Mukesh Choudhary,CSK,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Shaik Rasheed,CSK,🇮🇳 India,2024,Batter,Retention
₹20 Lakh,Simarjeet Singh,CSK,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Abishek Porel,DC,🇮🇳 India,2024,WK-Batter,Retention
₹20 Lakh,Rasikh Salam,DC,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Ricky Bhui,DC,🇮🇳 India,2024,Batter,Retention
₹20 Lakh,Swastik Chikara,DC,🇮🇳 India,2024,Batter,Retention
₹20 Lakh,Vicky Ostwal,DC,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Darshan Nalkande,GT,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Manav Suthar,GT,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Angkrish Raghuvanshi,KKR,🇮🇳 India,2024,Batter,Auction
₹20 Lakh,Anukul Roy,KKR,🇮🇳 India,2024,All-rounder,Retention
₹20 Lakh,Harshit Rana,KKR,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Ramandeep Singh,KKR,🇮🇳 India,2024,All-rounder,Retention
₹20 Lakh,Arshad Khan,LSG,🇮🇳 India,2024,All-rounder,Retention
₹20 Lakh,Arshin Kulkarni,LSG,🇮🇳 India,2024,Batter,Auction
₹20 Lakh,Ayush Badoni,LSG,🇮🇳 India,2024,Batter,Retention
₹20 Lakh,Mayank Yadav,LSG,🇮🇳 India,2024,Bowler,Auction
₹20 Lakh,Mohsin Khan,LSG,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Prerak Mankad,LSG,🇮🇳 India,2024,All-rounder,Retention
₹20 Lakh,Yudhvir Charak,LSG,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Akash Madhwal,MI,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Anshul Kamboj,MI,🇮🇳 India,2024,All-rounder,Auction
₹20 Lakh,Kumar Kartikeya,MI,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Naman Dhir,MI,🇮🇳 India,2024,All-rounder,Retention
₹20 Lakh,Nehal Wadhera,MI,🇮🇳 India,2024,Batter,Retention
₹20 Lakh,Shams Mulani,MI,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Shivalik Sharma,MI,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Shreyas Gopal,MI,🇮🇳 India,2024,Bowler,Auction
₹20 Lakh,Vishnu Vinod,MI,🇮🇳 India,2024,WK-Batter,Retention
₹20 Lakh,Ashutosh Sharma,PBKS,🇮🇳 India,2024,All-rounder,Auction
₹20 Lakh,Atharva Taide,PBKS,🇮🇳 India,2024,Batter,Retention
₹20 Lakh,Prince Choudhary,PBKS,🇮🇳 India,2024,All-rounder,Retention
₹20 Lakh,Shashank Singh,PBKS,🇮🇳 India,2024,All-rounder,Retention
₹20 Lakh,Shivam Singh,PBKS,🇮🇳 India,2024,All-rounder,Retention
₹20 Lakh,Vidwath Kaverappa,PBKS,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Mangesh Yadav,PBKS,🇮🇳 India,2024,Bowler,Auction
₹20 Lakh,Akash Deep,RCB,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Himanshu Sharma,RCB,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Manoj Bhandage,RCB,🇮🇳 India,2024,All-rounder,Retention
₹20 Lakh,Swapnil Singh,RCB,🇮🇳 India,2024,All-rounder,Retention
₹20 Lakh,Abid Mushtaq,RR,🇮🇳 India,2024,Bowler,Retention
₹20 Lakh,Dhruv Jurel,RR,🇮🇳 India,2024,WK-Batter,Retention
₹20 Lakh,Kunal Singh Rathore,RR,🇮🇳 India,2024,WK-Batter,Retention
₹20 Lakh,Akash Singh,SRH,🇮🇳 India,2024,Bowler,Auction
₹20 Lakh,Anmolpreet Singh,SRH,🇮🇳 India,2024,Batter,Retention
₹20 Lakh,Jhathavedh Subramanyan,SRH,🇮🇳 India,2024,Bowler,Auction
₹20 Lakh,Nitish Kumar Reddy,SRH,🇮🇳 India,2024,All-rounder,Auction
₹20 Lakh,Sanvir Singh,SRH,🇮🇳 India,2024,All-rounder,Retention
₹27 Cr,Rishabh Pant,LSG,🇮🇳 India,2025,WK-Batter,Auction
₹26.75 Cr,Shreyas Iyer,PBKS,🇮🇳 India,2025,Batter,Auction
₹23.75 Cr,Venkatesh Iyer,KKR,🇮🇳 India,2025,All-rounder,Auction
₹23 Cr,Heinrich Klaasen,SRH,🇿🇦 South Africa,2025,WK-Batter,Auction
₹21 Cr,Virat Kohli,RCB,🇮🇳 India,2025,Batter,Retention
₹21 Cr,Nicholas Pooran,LSG,🇹🇹 West Indies (Trinidad),2025,WK-Batter,Retention
₹18 Cr,Yashasvi Jaiswal,RR,🇮🇳 India,2025,Batter,Retention
₹18 Cr,Arshdeep Singh,PBKS,🇮🇳 India,2025,Bowler,Retention
₹18 Cr,Pat Cummins,SRH,🇦🇺 Australia,2025,Bowler,Retention
₹18 Cr,Jasprit Bumrah,MI,🇮🇳 India,2025,Bowler,Retention
₹18 Cr,Rashid Khan,GT,🇦🇫 Afghanistan,2025,Bowler,Retention
₹18 Cr,Ruturaj Gaikwad,CSK,🇮🇳 India,2025,Batter,Retention
₹18 Cr,Yuzvendra Chahal,PBKS,🇮🇳 India,2025,Bowler,Auction
₹18 Cr,Ravindra Jadeja,CSK,🇮🇳 India,2025,All-rounder,Retention
₹18 Cr,Sanju Samson,RR,🇮🇳 India,2025,WK-Batter,Retention
₹16.5 Cr,Shubman Gill,GT,🇮🇳 India,2025,Batter,Retention
₹16.5 Cr,Axar Patel,DC,🇮🇳 India,2025,All-rounder,Retention
₹16.35 Cr,Suryakumar Yadav,MI,🇮🇳 India,2025,Batter,Retention
₹16 Cr,Rohit Sharma,MI,🇮🇳 India,2025,Batter,Retention
₹16 Cr,Hardik Pandya,MI,🇮🇳 India,2025,All-rounder,Retention
₹15 Cr,Jos Buttler,RR,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2025,WK-Batter,Auction
₹14 Cr,KL Rahul,DC,🇮🇳 India,2025,WK-Batter,Auction
₹14 Cr,Riyan Parag,RR,🇮🇳 India,2025,Batter,Retention
₹14 Cr,Dhruv Jurel,RR,🇮🇳 India,2025,WK-Batter,Retention
₹14 Cr,Abhishek Sharma,SRH,🇮🇳 India,2025,Batter,Retention
₹14 Cr,Travis Head,SRH,🇦🇺 Australia,2025,Batter,Auction
₹13.25 Cr,Kuldeep Yadav,DC,🇮🇳 India,2025,Bowler,Retention
₹13 Cr,Matheesha Pathirana,CSK,🇱🇰 Sri Lanka,2025,Bowler,Retention
₹13 Cr,Rinku Singh,KKR,🇮🇳 India,2025,Batter,Retention
₹12.5 Cr,Trent Boult,MI,🇳🇿 New Zealand,2025,Bowler,Retention
₹12.5 Cr,Josh Hazlewood,RCB,🇦🇺 Australia,2025,Bowler,Auction
₹12.5 Cr,Jofra Archer,RR,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2025,Bowler,Auction
₹12.25 Cr,Mohammed Siraj,GT,🇮🇳 India,2025,Bowler,Auction
₹12 Cr,Varun Chakravarthy,KKR,🇮🇳 India,2025,Bowler,Retention
₹12 Cr,Andre Russell,KKR,🇯🇲 West Indies (Jamaica),2025,All-rounder,Retention
₹12 Cr,Sunil Narine,KKR,🇹🇹 West Indies (Trinidad),2025,All-rounder,Retention
₹12 Cr,Shivam Dube,CSK,🇮🇳 India,2025,All-rounder,Retention
₹11.75 Cr,Mitchell Starc,KKR,🇦🇺 Australia,2025,Bowler,Retention
₹11.5 Cr,Phil Salt,RCB,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2025,WK-Batter,Auction
₹11.25 Cr,Ishan Kishan,SRH,🇮🇳 India,2025,WK-Batter,Auction
₹11 Cr,Jitesh Sharma,RCB,🇮🇳 India,2025,WK-Batter,Auction
₹11 Cr,Mayank Yadav,LSG,🇮🇳 India,2025,Bowler,Retention
₹11 Cr,Shimron Hetmyer,RR,🇬🇾 West Indies (Guyana),2025,Batter,Retention
₹11 Cr,Rajat Patidar,RCB,🇮🇳 India,2025,Batter,Retention
₹11 Cr,Marcus Stoinis,PBKS,🇦🇺 Australia,2025,All-rounder,Auction
₹10.75 Cr,Bhuvneshwar Kumar,RCB,🇮🇳 India,2025,Bowler,Auction
₹10.75 Cr,T Natarajan,DC,🇮🇳 India,2025,Bowler,Auction
₹10.75 Cr,Kagiso Rabada,GT,🇿🇦 South Africa,2025,Bowler,Auction
₹10 Cr,Mohammed Shami,LSG,🇮🇳 India,2025,Bowler,Auction
₹10 Cr,Noor Ahmad,CSK,🇦🇫 Afghanistan,2025,Bowler,Auction
₹10 Cr,Tristan Stubbs,DC,🇿🇦 South Africa,2025,WK-Batter,Retention
₹9.75 Cr,Ravichandran Ashwin,CSK,🇮🇳 India,2025,Bowler,Auction
₹9.75 Cr,Avesh Khan,LSG,🇮🇳 India,2025,Bowler,Auction
₹9.5 Cr,Prasidh Krishna,GT,🇮🇳 India,2025,Bowler,Auction
₹9.25 Cr,Deepak Chahar,MI,🇮🇳 India,2025,Bowler,Auction
₹9 Cr,Jake Fraser-McGurk,DC,🌍 Overseas,2025,Batter,Auction
₹8.75 Cr,Liam Livingstone,RCB,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2025,All-rounder,Auction
₹8.5 Cr,Sai Sudharsan,GT,🇮🇳 India,2025,Batter,Retention
₹8 Cr,Harshal Patel,SRH,🇮🇳 India,2025,Bowler,Auction
₹8 Cr,Tilak Varma,MI,🇮🇳 India,2025,Batter,Retention
₹8 Cr,Mukesh Kumar,DC,🇮🇳 India,2025,Bowler,Auction
₹8 Cr,Akash Deep,RCB,🇮🇳 India,2025,Bowler,Auction
₹7.5 Cr,David Miller,LSG,🌍 Overseas,2025,Batter,Auction
₹7.2 Cr,Ravi Bishnoi,RR,🇮🇳 India,2025,Bowler,Auction
₹6.5 Cr,Tushar Deshpande,RR,🇮🇳 India,2025,Bowler,Auction
₹6.5 Cr,Anrich Nortje,KKR,🇿🇦 South Africa,2025,Bowler,Auction
₹6.25 Cr,Devon Conway,CSK,🇳🇿 New Zealand,2025,WK-Batter,Auction
₹6.25 Cr,Harry Brook,DC,🌍 Overseas,2025,Batter,Auction
₹6 Cr,Rasikh Salam,RCB,🇮🇳 India,2025,Bowler,Retention
₹6 Cr,Nitish Kumar Reddy,SRH,🇮🇳 India,2025,All-rounder,Retention
₹5.75 Cr,Krunal Pandya,RCB,🇮🇳 India,2025,All-rounder,Auction
₹5.5 Cr,Shashank Singh,PBKS,🇮🇳 India,2025,Batter,Retention
₹5.25 Cr,Naman Dhir,MI,🇮🇳 India,2025,All-rounder,Retention
₹5.25 Cr,Will Jacks,MI,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2025,All-rounder,Auction
₹5.25 Cr,Wanindu Hasaranga,RR,🌍 Overseas,2025,Bowler,Auction
₹5.2 Cr,Mangesh Yadav,RCB,🇮🇳 India,2025,Bowler,Auction
₹5 Cr,Yash Dayal,RCB,🇮🇳 India,2025,Bowler,Auction
₹4.8 Cr,Khaleel Ahmed,CSK,🇮🇳 India,2025,Bowler,Auction
₹4.8 Cr,AM Ghazanfar,MI,🇦🇫 Afghanistan,2025,Bowler,Auction
₹4.4 Cr,Maheesh Theekshana,RR,🌍 Overseas,2025,Bowler,Auction
₹4.2 Cr,Nitish Rana,RR,🇮🇳 India,2025,Batter,Auction
₹4.2 Cr,Nehal Wadhera,PBKS,🇮🇳 India,2025,Batter,Retention
₹4.2 Cr,Abdul Samad,LSG,🇮🇳 India,2025,All-rounder,Auction
₹4.2 Cr,Glenn Maxwell,PBKS,🇦🇺 Australia,2025,All-rounder,Auction
₹4 Cr,Ramandeep Singh,KKR,🇮🇳 India,2025,All-rounder,Retention
₹4 Cr,Prabhsimran Singh,PBKS,🇮🇳 India,2025,WK-Batter,Retention
₹4 Cr,Abishek Porel,DC,🇮🇳 India,2025,WK-Batter,Retention
₹4 Cr,Ayush Badoni,LSG,🇮🇳 India,2025,Batter,Retention
₹4 Cr,Mohsin Khan,LSG,🇮🇳 India,2025,Bowler,Retention
₹4 Cr,Sandeep Sharma,RR,🇮🇳 India,2025,Bowler,Retention
₹4 Cr,MS Dhoni,CSK,🇮🇳 India,2025,WK-Batter,Retention
₹4 Cr,Rahul Tewatia,GT,🇮🇳 India,2025,All-rounder,Retention
₹4 Cr,M Shahrukh Khan,GT,🇮🇳 India,2025,Batter,Retention
₹4 Cr,Harshit Rana,KKR,🇮🇳 India,2025,Bowler,Retention
₹4 Cr,Marco Jansen,PBKS,🇿🇦 South Africa,2025,All-rounder,Auction
₹4 Cr,Rachin Ravindra,CSK,🇳🇿 New Zealand,2025,Batter,Auction
₹3.8 Cr,Ashutosh Sharma,PBKS,🇮🇳 India,2025,Batter,Retention
₹3.8 Cr,Priyansh Arya,DC,🇮🇳 India,2025,Batter,Auction
₹3.6 Cr,Quinton de Kock,KKR,🌍 Overseas,2025,WK-Batter,Auction
₹3.4 Cr,Rahul Tripathi,CSK,🇮🇳 India,2025,Batter,Auction
₹3.4 Cr,Anshul Kamboj,CSK,🇮🇳 India,2025,Bowler,Auction
₹3.4 Cr,Mitchell Marsh,LSG,🇦🇺 Australia,2025,All-rounder,Auction
₹3.2 Cr,Rahul Chahar,SRH,🇮🇳 India,2025,Bowler,Auction
₹3.2 Cr,Washington Sundar,GT,🇮🇳 India,2025,All-rounder,Auction
₹3.2 Cr,Abhinav Manohar,SRH,🇮🇳 India,2025,Batter,Auction
₹3 Cr,Tim David,RCB,🇸🇬 Singapore,2025,Batter,Auction
₹3 Cr,Alzarri Joseph,GT,🇦🇬 West Indies (Antigua),2025,Bowler,Auction
₹3 Cr,Robin Minz,GT,🇮🇳 India,2025,WK-Batter,Auction
₹3 Cr,Angkrish Raghuvanshi,KKR,🇮🇳 India,2025,Batter,Retention
₹3 Cr,Mitchell Owen,PBKS,🌍 Overseas,2025,Batter,Auction
₹2.8 Cr,Spencer Johnson,KKR,🌍 Overseas,2025,Bowler,Auction
₹2.6 Cr,Suyash Sharma,RCB,🇮🇳 India,2025,Bowler,Auction
₹2.6 Cr,Josh Inglis,PBKS,🇦🇺 Australia,2025,WK-Batter,Auction
₹2.6 Cr,Jacob Bethell,RCB,🌍 Overseas,2025,All-rounder,Auction
₹2.4 Cr,Sherfane Rutherford,KKR,🇬🇾 West Indies (Guyana),2025,All-rounder,Auction
₹2.4 Cr,Shahbaz Ahmed,RCB,🇮🇳 India,2025,All-rounder,Auction
₹2.4 Cr,Sam Curran,CSK,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2025,All-rounder,Auction
₹2.4 Cr,Gerald Coetzee,GT,🌍 Overseas,2025,Bowler,Auction
₹2.4 Cr,Azmatullah Omarzai,PBKS,🌍 Overseas,2025,All-rounder,Auction
₹2.2 Cr,Dewald Brevis,CSK,🇿🇦 South Africa,2025,Batter,Replacement
₹2.2 Cr,Gurjapneet Singh,CSK,🇮🇳 India,2025,Bowler,Auction
₹2.2 Cr,Mohit Sharma,DC,🇮🇳 India,2025,Bowler,Auction
₹2 Cr,Sai Kishore,GT,🇮🇳 India,2025,Bowler,Auction
₹2 Cr,Nathan Ellis,CSK,🇦🇺 Australia,2025,Bowler,Auction
₹2 Cr,Shardul Thakur,LSG,🇮🇳 India,2025,All-rounder,Auction
₹2 Cr,Devdutt Padikkal,RCB,🇮🇳 India,2025,Batter,Auction
₹2 Cr,Faf du Plessis,DC,🇿🇦 South Africa,2025,Batter,Auction
₹2 Cr,Glenn Phillips,GT,🌍 Overseas,2025,All-rounder,Auction
₹2 Cr,Moeen Ali,KKR,🌍 Overseas,2025,All-rounder,Auction
₹2 Cr,Rahmanullah Gurbaz,KKR,🌍 Overseas,2025,WK-Batter,Auction
₹2 Cr,Aiden Markram,LSG,🌍 Overseas,2025,Batter,Auction
₹2 Cr,Mitchell Santner,MI,🇳🇿 New Zealand,2025,All-rounder,Auction
₹2 Cr,Lockie Ferguson,PBKS,🌍 Overseas,2025,Bowler,Auction
₹2 Cr,Fazalhaq Farooqi,RR,🌍 Overseas,2025,Bowler,Auction
₹1.9 Cr,Wriddhiman Saha,GT,🇮🇳 India,2025,WK-Batter,Retention
₹1.8 Cr,Vaibhav Arora,KKR,🇮🇳 India,2025,Bowler,Auction
₹1.8 Cr,Vijaykumar Vyshak,PBKS,🇮🇳 India,2025,Bowler,Auction
₹1.7 Cr,Mahipal Lomror,GT,🇮🇳 India,2025,All-rounder,Auction
₹1.6 Cr,Yash Thakur,PBKS,🇮🇳 India,2025,Bowler,Auction
₹1.6 Cr,Nuwan Thushara,RCB,🇱🇰 Sri Lanka,2025,Bowler,Auction
₹1.5 Cr,Matthew Short,CSK,🇦🇺 Australia,2025,Batter,Auction
₹1.5 Cr,Ajinkya Rahane,KKR,🇮🇳 India,2025,Batter,Auction
₹1.5 Cr,Jamie Overton,CSK,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,2025,All-rounder,Auction
₹1.5 Cr,Donovan Ferreira,PBKS,🇿🇦 South Africa,2025,Batter,Auction
